year,milkproduction,milchanimal,milkyield,milkdemand,population,consumptionpercapita
2010,122,117,1042,122,1186,282
2011,128,118,1087,128,1211,290
2012,132,119,1116,132,1227,295
2013,138,119,1152,137,1243,301
2014,146,120,1215,146,1258,318
2015,156,121,1281,155,1275,334
2016,165,122,1351,165,1291,351
2017,176,124,1427,176,1306,369
2018,188,125,1506,187,1320,388
2019,198,126,1578,198,1334,407
2020,210,127,1654,210,1349,426
2021,222,128,1732,221,1363,445
2022,231,135,1705,230,1376,458
2023,239,137,1744,239,1388,472
2024,248,139,1785,248,1400,485
2025,255,141,1816,255,1422,501
